Company,Ticker,"Market Cap ($B) as of Jan 15, 2020",Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,Q1 2019,Q4 2018,Q3 2018,Q2 2018,Q1 2018,Q4 2017,Q3 2017,Q2 2017,Q1 2017,Q4 2016,Q3 2016,Q2 2016,Q1 2016,Q4 2015,Q3 2015,Q2 2015,Q1 2015,,
Salesforce,CRM,161.407,11.7,8.95,7.64,8.86,8.02,8.26,9.23,8.84,8.34,8.69,8.02,7.9,7.39,6.83,6.78,6.5,6.5,7.42,7.16,6.77,8.06,7.92,,6.5
ServiceNow,NOW,57.917,22.68,20.4,15.08,15.59,14.67,16.82,16,12.56,14.63,13.55,14.02,11.6,11.32,10.95,9.58,8.77,9.94,8.9,8.77,13.34,11.54,13.32,,11.7
Shopify,SHOP,52.111,54.79,53.45,27.48,28.32,24.3,25.22,18.81,13.59,17.74,17.2,16.01,14.25,18.46,15.14,13.09,9.14,10.03,8.07,7.86,,,,,
Workday,WDAY,41.285,12.49,10.47,9.22,11.52,10.56,13.64,14.85,13.9,10.89,10.82,11.46,11.59,11.36,11.14,10.22,10.41,11.68,11.96,11.46,10.33,13.95,16.12,,
Atlassian,TEAM,33.296,26.92,27.65,22.28,20.86,23.45,26.01,23.91,20.32,23.45,16.32,15.23,13.84,11.6,12.56,11.18,9.59,11.99,,,,,,,
Square,SQ,30.056,11.18,8.02,4.56,5.9,6.15,7.87,8.85,7.13,13.77,9,7.81,5.91,5.17,4.4,3.34,2.7,2.19,,,,,,,
Veeva Systems,VEEV,21.741,35.8,25.34,21.03,21.85,26.93,23.99,19.69,17.37,15.22,14.89,13.94,13.98,15.25,13.47,11.32,11.2,11.73,9.08,8.52,9.61,10.85,11.39,,
Zoom,ZM,20.982,126.67,46.29,28.26,,,,,,,,,,,,,,,,,,,,,
Paycom Software,PAYC,16.967,19.94,22.81,15.12,20.95,17.6,20.28,18.06,12.68,17.21,11.67,13.51,10.9,10.83,10.51,9.43,8.12,9.59,8.87,8,9.67,9.92,10.16,,
Twilio,TWLO,16.78,22.98,21.6,9.46,11.12,13.11,17.15,17.58,13.31,14.7,10.69,8.02,5.38,6.39,6.57,4.78,,,,,,,,,
