Time,year,TTM Revenue (Billions),P/S,price,,,,,,,,,,,,,,,,,,
Q1,2015,5.66,7.92,73.3,,,,,,,,,,,,,,,,,,
Q2,2015,5.97,8.06,77.7,,,,,,,,,,,,,,,,,,
Q3,2015,6.3,6.77,68,,,,,,,,,,,,,,,,,,
Q4,2015,6.67,7.16,75.8,,,,,,,,,,,,,,,,,,
Q1,2016,7.07,7.42,81.8,,,,,,,,,,,,,,,,,,
Q2,2016,7.476,6.5,75.1,,,,,,,,,,,,,,,,,,
Q3,2016,7.9,6.5,79.1,,,,,,,,,,,,,,,,,,
Q4,2016,8.438,6.78,86.1,,,,,,,,,,,,,,,,,,
Q1,2017,8.92,6.83,91,,,,,,,,,,,,,,,,,,
Q2,2017,9.45,7.39,102.3,,,,,,,,,,,,,,,,,,
Q3,2017,10.01,7.9,114,,,,,,,,,,,,,,,,,,
Q4,2017,10.54,8.02,121,,,,,,,,,,,,,,,,,,
Q1,2018,11.15,8.69,137.2,,,,,,,,,,,,,,,,,,
Q2,2018,11.85,8.34,137.2,,,,,,,,,,,,,,,,,,
Q3,2018,12.54,8.84,152,,,,,,,,,,,,,,,,,,
Q4,2018,13.28,9.23,165.4,,,,,,,,,,,,,,,,,,
Q1,2019,14.01,8.26,154.5,,,,,,,,,,,,,,,,,,
Q2,2019,14.729,8.02,156.5,,,,,,,,,,,,,,,,,,
Q3,2019,15.85,8.86,182.3,,,,,,,,,,,,,,,,,,
Q4,2019,17.098,7.64,162,,,,,,,,,,,,,,,,,,
Q1,2020,18.22,8.95,194.6,,,,,,,,,,,,,,,,,,
Q2,2020,19.38,11.7,254.7,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
